Polymer Type,Unnamed: 1,Polymer,He,H2,O2,N2,CO2,CH4,Unnamed: 18,Unnamed: 19,Unnamed: 20,log10_He,log10_H2,log10_O2,log10_N2,log10_CO2,log10_CH4,log10_He_Bayesian,log10_H2_Bayesian,log10_O2_Bayesian,log10_N2_Bayesian,log10_CO2_Bayesian,log10_CH4_Bayesian,log10_He_Bayesian_std,log10_H2_Bayesian_std,log10_O2_Bayesian_std,log10_N2_Bayesian_std,log10_CH4_Bayesian_std,log10_CO2_Bayesian_std
Polyamides and poly(amide-imides),TMAC-TFA poly(amide-imide),,,,0.284,0.071,1.273,0.013,,Kresse 1999,http://dx.doi.org/10.1002/(SICI)1099-0488(19990815)37:16%3C2183::AID-POLB20%3E3.0.CO;2-5,,,-0.54668166,-1.148741651,0.104828404,-1.886056648,1.133386267,0.799500579,-0.54668166,-1.148741651,0.104828404,-1.886056648,0.087156531,0.098882504,0.070990492,0.083268768,0.136639171,0.142637108
Polyamides and poly(amide-imides),TMAC-FDA poly(amide-imide),,,,0.347,0.064,1.539,0.017,,Kresse 1999,http://dx.doi.org/10.1002/(SICI)1099-0488(19990815)37:16%3C2183::AID-POLB20%3E3.0.CO;2-5,,,-0.459670525,-1.193820026,0.18723862,-1.769551079,1.109093509,0.864249366,-0.459670525,-1.193820026,0.18723862,-1.769551079,0.087206525,0.098726185,0.071205751,0.082937714,0.13621738,0.142957063
Polyamides and poly(amide-imides),,Torlon 4000T,5.53,4.44,0.212,0.037,0.83,0.03,,Hosseini 2009,http://www.sciencedirect.com/science/article/pii/S0376738808010314,0.742725131,0.64738297,-0.673664139,-1.431798276,-0.080921908,-1.522878745,0.742725131,0.64738297,-0.673664139,-1.431798276,-0.080921908,-1.522878745,0.087428972,0.098896438,0.071291959,0.082437122,0.134639215,0.144026778
Polyarylates,PA,polarylate,14,,1.7,0.33,7.5,0.4,,Barbari 1989,http://www.sciencedirect.com/science/article/pii/S0376738800823662,1.146128036,,0.230448921,-0.48148606,0.875061263,-0.397940009,1.146128036,1.162555716,0.230448921,-0.48148606,0.875061263,-0.397940009,0.086973471,0.097965059,0.071262974,0.081866433,0.134259037,0.143189999
Polyarylates,TMBPA-tBI PAR,,79,104,12,2.5,53,2.79,,Wright 1997,http://www.sciencedirect.com/science/article/pii/S0376738896002153,1.897627091,2.017033339,1.079181246,0.397940009,1.72427587,0.445604203,1.897627091,2.017033339,1.079181246,0.397940009,1.72427587,0.445604203,0.087636735,0.099189453,0.071638275,0.0825084,0.135418781,0.144246179
Polyarylates,Bis A PAR (I/T= 1.0),Bis A polyarylate (I/T= 1.0),6.5,,0.52,0.0912,2.3,0.105,,Guzman-Gutierrez 2007,http://www.sciencedirect.com/science/article/pii/S0376738807005832,0.812913357,,-0.283996656,-1.040005162,0.361727836,-0.978810701,0.812913357,0.769026567,-0.283996656,-1.040005162,0.361727836,-0.978810701,0.087055011,0.098164237,0.071312791,0.081910584,0.134202033,0.14336263
Polyarylates,TMBisA PAR (I/T = 1.0),TMBisA Polyarylate (I/T = 1.0),40,,3.6,0.59,14,0.583,,Guzman-Gutierrez 2007,http://www.sciencedirect.com/science/article/pii/S0376738807005832,1.602059991,,0.556302501,-0.229147988,1.146128036,-0.234331445,1.602059991,1.629776414,0.556302501,-0.229147988,1.146128036,-0.234331445,0.087676067,0.099468329,0.071889548,0.082444462,0.135369288,0.144819989
Polyarylates,HFBis A PAR (I/T = 1.0),HFBis A polyarylate (I/T = 1.0),51,,6,1.304,27,1.125,,Guzman-Gutierrez 2007,http://www.sciencedirect.com/science/article/pii/S0376738807005832,1.707570176,,0.77815125,0.115277591,1.431363764,0.051152522,1.707570176,1.732127092,0.77815125,0.115277591,1.431363764,0.051152522,0.087233297,0.098720005,0.071454128,0.082456058,0.135332086,0.143629877
Polyarylates,TMHFBis A PAR (I/T = 1.0),TMHFBis A polyarylate (I/T = 1.0),182,,16,2.81,55,1.72,,Guzman-Gutierrez 2007,http://www.sciencedirect.com/science/article/pii/S0376738807005832,2.260071388,,1.204119983,0.44870632,1.740362689,0.235528447,2.260071388,2.29006718,1.204119983,0.44870632,1.740362689,0.235528447,0.087882229,0.100011167,0.072076856,0.082985262,0.136505747,0.145333535
Polyarylates,Bis A-I PAR,,15.1,,1.45,0.272,5.6,0.268,,Pessan 1993,http://dx.doi.org/10.1002/polb.1993.090310919,1.178976947,,0.161368002,-0.565431096,0.748188027,-0.571865206,1.178976947,1.155536566,0.161368002,-0.565431096,0.748188027,-0.571865206,0.086880792,0.097922647,0.071248932,0.081892045,0.134271624,0.143318269
Polyarylates,Bis A-T PAR,,16.8,,2.54,0.63,11.6,0.678,,Pessan 1993,http://dx.doi.org/10.1002/polb.1993.090310919,1.225309282,,0.404833717,-0.200659451,1.064457989,-0.168770306,1.225309282,1.230698189,0.404833717,-0.200659451,1.064457989,-0.168770306,0.086512448,0.097188214,0.070878105,0.081781615,0.134017146,0.142253528
Polyarylates,Polyarylate PT1,,,10.4,1.6,0.282,6.91,0.365,,Zhang 1993,http://dx.doi.org/10.1021/ma00078a010,,1.017033339,0.204119983,-0.549750892,0.839478047,-0.437707136,1.025481592,1.017033339,0.204119983,-0.549750892,0.839478047,-0.437707136,0.086676446,0.097316198,0.071259691,0.081474029,0.134006538,0.142840548
Polyarylates,Polyarylate PT2,,,37.1,5.54,1.37,22.2,1.39,,Zhang 1993,http://dx.doi.org/10.1021/ma00078a010,,1.56937391,0.743509765,0.136720567,1.346352974,0.1430148,1.555528997,1.56937391,0.743509765,0.136720567,1.346352974,0.1430148,0.08660251,0.097592444,0.071097509,0.081923092,0.134284826,0.14288586
Polyarylates,Bis A-T PAR,,14,,1.88,0.37,8,0.4,,Kharul 1998,http://www.sciencedirect.com/science/article/pii/S0032386197003868,1.146128036,,0.274157849,-0.431798276,0.903089987,-0.397940009,1.146128036,1.157722378,0.274157849,-0.431798276,0.903089987,-0.397940009,0.086705993,0.097340573,0.071045584,0.08167811,0.134067353,0.142634616
Polyarylates,DMBis A-T PAR,,18,,1.12,0.23,5.8,0.17,,Kharul 1998,http://www.sciencedirect.com/science/article/pii/S0032386197003868,1.255272505,,0.049218023,-0.638272164,0.763427994,-0.769551079,1.255272505,1.183155021,0.049218023,-0.638272164,0.763427994,-0.769551079,0.087419185,0.099228433,0.071481777,0.082763992,0.135646941,0.143685946
Polyarylates,TMBis A-T PAR,,50,,7.3,1.43,4.7,1.32,,Kharul 1998,http://www.sciencedirect.com/science/article/pii/S0032386197003868,1.698970004,,0.86332286,0.155336037,0.672097858,0.120573931,1.698970004,1.637295893,0.86332286,0.155336037,0.672097858,0.120573931,0.086207107,0.096244494,0.071022591,0.080818449,0.132370908,0.143747307
Polyarylates,Ppha-T PAR,,16.2,,2.15,0.41,11.7,0.47,,Kharul 1998,http://www.sciencedirect.com/science/article/pii/S0032386197003868,1.209515015,,0.33243846,-0.387216143,1.068185862,-0.327902142,1.209515015,1.250487527,0.33243846,-0.387216143,1.068185862,-0.327902142,0.087223413,0.098227838,0.071331699,0.082090507,0.134870829,0.142984648
Polyarylates,o-Cp-T PAR,,13.3,,1.04,0.15,5,0.18,,Kharul 1998,http://www.sciencedirect.com/science/article/pii/S0032386197003868,1.123851641,,0.017033339,-0.823908741,0.698970004,-0.744727495,1.123851641,1.13988839,0.017033339,-0.823908741,0.698970004,-0.744727495,0.087885154,0.099581868,0.071920257,0.082365626,0.135272913,0.144623886
Polyarylates,Bis A-I PAR,,8.8,,0.49,0.09,2.1,,,Kharul 1998,http://www.sciencedirect.com/science/article/pii/S0032386197003868,0.944482672,,-0.30980392,-1.045757491,0.322219295,,0.944482672,0.831508553,-0.30980392,-1.045757491,0.322219295,-1.194417785,0.086952642,0.098202448,0.071217294,0.082215493,0.134733225,0.143182584
Polyarylates,DMBis A??I PAR,,8.8,,0.46,0.076,2.5,0.044,,Kharul 1998,http://www.sciencedirect.com/science/article/pii/S0032386197003868,0.944482672,,-0.337242168,-1.119186408,0.397940009,-1.356547324,0.944482672,0.836332699,-0.337242168,-1.119186408,0.397940009,-1.356547324,0.087314992,0.09854571,0.071317548,0.082504971,0.135584621,0.142907656
Polyarylates,TMBis A-I PAR,,37,,3.5,0.68,24,0.53,,Kharul 1998,http://www.sciencedirect.com/science/article/pii/S0032386197003868,1.568201724,,0.544068044,-0.167491087,1.380211242,-0.27572413,1.568201724,1.591910242,0.544068044,-0.167491087,1.380211242,-0.27572413,0.087976368,0.099810607,0.071740957,0.083077271,0.136675966,0.143630923
Polyarylates,Bis A-I/T (1/1) PAR,Bis A-I/T (1/1) polyarylate,160,,1.4,0.33,7.3,0.4,,Houde 1995,http://www.sciencedirect.com/science/article/pii/0376738895003246,2.204119983,,0.146128036,-0.48148606,0.86332286,-0.397940009,2.204119983,2.072405073,0.146128036,-0.48148606,0.86332286,-0.397940009,0.093209215,0.112513456,0.075715393,0.088795997,0.142410534,0.156990584
Polyarylates,Bis MEK-I/T (1/1) PAR,Bis MEK-I/T (1/1) polyarylate,12.8,,1.6,0.24,4.6,0.57,,Houde 1995,http://www.sciencedirect.com/science/article/pii/0376738895003246,1.10720997,,0.204119983,-0.619788758,0.662757832,-0.244125144,1.10720997,1.184756196,0.204119983,-0.619788758,0.662757832,-0.244125144,0.08778591,0.099374886,0.072085382,0.08162798,0.133571672,0.145597078
Polyarylates,Bis MIBK-I/T (1/1) PAR,Bis MIBK-I/T (1/1) polyarylate,29,,3.5,0.57,15.9,1.71,,Houde 1995,http://www.sciencedirect.com/science/article/pii/0376738895003246,1.462397998,,0.544068044,-0.244125144,1.201397124,0.23299611,1.462397998,1.609164159,0.544068044,-0.244125144,1.201397124,0.23299611,0.089074333,0.102060494,0.072971514,0.08282339,0.135201027,0.147473443
Polyarylates,Bis Aceto-I/T (1/1) PAR,Bis Aceto-I/T (1/1) polyarylate,15.9,,2.1,0.32,10.8,0.74,,Houde 1995,http://www.sciencedirect.com/science/article/pii/0376738895003246,1.201397124,,0.322219295,-0.494850022,1.033423755,-0.13076828,1.201397124,1.325316097,0.322219295,-0.494850022,1.033423755,-0.13076828,0.088380157,0.100355217,0.072300953,0.082314404,0.135007575,0.145513842
Polyarylates,Bis Lev-I/T (1/1) PAR,Bis Lev-I/T (1/1) polyarylate,9.5,,0.76,0.17,3.5,0.31,,Houde 1995,http://www.sciencedirect.com/science/article/pii/0376738895003246,0.977723605,,-0.119186408,-0.769551079,0.544068044,-0.508638306,0.977723605,0.961625856,-0.119186408,-0.769551079,0.544068044,-0.508638306,0.087656222,0.099880817,0.071828914,0.082529484,0.134373043,0.145013447
Polyarylates,Bis A-I PAR,Bis A-I polyarylate,,,1.45,0.274,7.1,0.309,,Villegas-Coss 2006,http://dx.doi.org/10.1002/polb.20690,,,0.161368002,-0.562249437,0.851258349,-0.510041521,1.130742785,1.138406007,0.161368002,-0.562249437,0.851258349,-0.510041521,0.087162537,0.098306147,0.07135032,0.082073546,0.134655761,0.143261794
Polyarylates,"Bis A/1,1 bi 2-naphthol (1/1)-I PAR","Bis A/1,1 bi 2-naphthol (1/1)-I polyarylate",,,0.93,0.139,4,0.148,,Villegas-Coss 2006,http://dx.doi.org/10.1002/polb.20690,,,-0.031517051,-0.8569852,0.602059991,-0.829738285,1.027478414,1.022591044,-0.031517051,-0.8569852,0.602059991,-0.829738285,0.087319204,0.098417478,0.07150616,0.081946663,0.134649677,0.143698881
Polyarylates,Bis A-T PAR,Bis A-T polyarylate,,,2.54,0.635,12.5,0.735,,Villegas-Coss 2006,http://dx.doi.org/10.1002/polb.20690,,,0.404833717,-0.197226275,1.096910013,-0.133712661,1.282148043,1.291236864,0.404833717,-0.197226275,1.096910013,-0.133712661,0.086845127,0.097976118,0.071116707,0.082097718,0.134426869,0.142845651
Polyarylates,"Bis A/1,1 bi 2-naphthol (1/1)-T PAR","Bis A/1,1 bi 2-naphthol (1/1)-T polyarylate",,,2.04,0.364,9.9,0.471,,Villegas-Coss 2006,http://dx.doi.org/10.1002/polb.20690,,,0.309630167,-0.438898616,0.995635195,-0.326979093,1.203633802,1.25186338,0.309630167,-0.438898616,0.995635195,-0.326979093,0.087307146,0.098439253,0.071470231,0.082008369,0.134668705,0.143509663
Polyarylates,Bis A-I PAR,,13.4,,1.33,0.241,5.4,0.233,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330717,1.127104798,,0.123851641,-0.617982957,0.73239376,-0.632644079,1.127104798,1.107513658,0.123851641,-0.617982957,0.73239376,-0.632644079,0.086877576,0.097779719,0.071204467,0.081844732,0.134308734,0.143096967
Polyarylates,Bis A-tBI PAR,,34.3,,5.95,1.197,24.2,1.43,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330717,1.53529412,,0.774516966,0.07809415,1.383815366,0.155336037,1.53529412,1.609275163,0.774516966,0.07809415,1.383815366,0.155336037,0.086948898,0.097839625,0.071281337,0.081821964,0.134391826,0.143241225
Polyarylates,HFBis A-I PAR,,47.8,,5.23,1.1,19.1,0.799,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330717,1.679427897,,0.718501689,0.041392685,1.281033367,-0.097453221,1.679427897,1.670880058,0.718501689,0.041392685,1.281033367,-0.097453221,0.086873175,0.098020892,0.071254944,0.082161262,0.134861595,0.143337459
Polyarylates,HFBis A-tBI PAR,,91.1,,15.7,3.88,56.9,3.47,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330717,1.959518377,,1.195899652,0.588831726,1.755112266,0.540329475,1.959518377,2.015409381,1.195899652,0.588831726,1.755112266,0.540329475,0.086797732,0.097921144,0.071232097,0.082108336,0.134718763,0.143322595
Polyarylates,Ppha-I PAR,,14.7,,1.53,0.276,6.74,0.25,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330717,1.167317335,,0.184691431,-0.559090918,0.828659897,-0.602059991,1.167317335,1.155849941,0.184691431,-0.559090918,0.828659897,-0.602059991,0.086932337,0.097780033,0.07119266,0.081915589,0.13455135,0.142909608
Polyarylates,Ppha-tBI PAR,,35.6,,5.6,1.09,23.8,1.16,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330717,1.551449998,,0.748188027,0.037426498,1.376576957,0.064457989,1.551449998,1.615123229,0.748188027,0.037426498,1.376576957,0.064457989,0.087036515,0.09797639,0.071316912,0.081942976,0.134674272,0.143237661
Polyarylates,FBP-I PAR,,22.3,,3.03,0.57,12.4,0.617,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330717,1.348304863,,0.481442629,-0.244125144,1.093421685,-0.209714836,1.348304863,1.383091128,0.481442629,-0.244125144,1.093421685,-0.209714836,0.086935658,0.097807635,0.071253533,0.081822546,0.134380506,0.143165836
Polyarylates,FBP-tBI PAR,,45.9,,9.55,1.93,36.8,2.374,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330717,1.661812686,,0.980003372,0.285557309,1.565847819,0.375480715,1.661812686,1.762404203,0.980003372,0.285557309,1.565847819,0.375480715,0.086904873,0.097677508,0.071262633,0.081726051,0.134328756,0.14322085
Polyarylates,TMBPA-tBI polyarylate,,,,13.1,2.68,46,2.86,,McCaig 1999,http://www.sciencedirect.com/science/article/pii/S0032386198005709,,,1.117271296,0.428134794,1.662757832,0.456366033,1.859329223,1.946523309,1.117271296,0.428134794,1.662757832,0.456366033,0.087008524,0.09807302,0.071404196,0.081941374,0.134623323,0.143692422
Polyarylates,DBDMBPA-tBI polyarylate,,,,6.27,1.06,22.7,1.06,,McCaig 1999,http://www.sciencedirect.com/science/article/pii/S0032386198005709,,,0.797267541,0.025305865,1.356025857,0.025305865,1.655263813,1.719188313,0.797267541,0.025305865,1.356025857,0.025305865,0.087228489,0.09831631,0.071528594,0.08196379,0.134826696,0.143897718
Polyarylates,TBBPA-tBI polyarylate,,,,5.4,0.85,19.7,0.838,,McCaig 1999,http://www.sciencedirect.com/science/article/pii/S0032386198005709,,,0.73239376,-0.070581074,1.294466226,-0.076755981,1.616520583,1.67944226,0.73239376,-0.070581074,1.294466226,-0.076755981,0.087335622,0.09843351,0.071593598,0.081976545,0.134937731,0.144015561
Polyarylates,TMFBP-tBI polyarylate,,,,28.1,6,110,6.55,,McCaig 1999,http://www.sciencedirect.com/science/article/pii/S0032386198005709,,,1.44870632,0.77815125,2.041392685,0.8162413,2.089858789,2.223001792,1.44870632,0.77815125,2.041392685,0.8162413,0.087196943,0.098340755,0.071500749,0.082118546,0.13507011,0.143747749
Polyarylates,DMDBFBP-tBI polyarylate,,,,15.4,2.78,71,3.3,,McCaig 1999,http://www.sciencedirect.com/science/article/pii/S0032386198005709,,,1.187520721,0.444044796,1.851258349,0.51851394,1.878132077,2.019342932,1.187520721,0.444044796,1.851258349,0.51851394,0.087559747,0.098768473,0.071684764,0.082200423,0.135407485,0.143924027
Polyarylates,TBBPA-I PAR,,16.3,18.3,1.3,0.18,4.93,0.142,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330905,1.212187604,1.26245109,0.113943352,-0.744727495,0.692846919,-0.847711656,1.212187604,1.26245109,0.113943352,-0.744727495,0.692846919,-0.847711656,0.087523811,0.098233064,0.071294577,0.082048548,0.134888444,0.143592464
Polyarylates,TBBPA-tBI PAR,,41.6,54,5.63,0.901,21.5,0.853,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330905,1.619093331,1.73239376,0.750508395,-0.045275209,1.33243846,-0.069050969,1.619093331,1.73239376,0.750508395,-0.045275209,1.33243846,-0.069050969,0.087462673,0.098268605,0.071384889,0.082028241,0.134957371,0.143683503
Polyarylates,TBHFBPA-I PAR,,66.3,65,6.75,1.07,35.6,0.597,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330905,1.821513528,1.812913357,0.829303773,0.029383778,1.551449998,-0.224025669,1.821513528,1.812913357,0.829303773,0.029383778,1.551449998,-0.224025669,0.087665628,0.099132979,0.071843139,0.082751446,0.136678946,0.143647376
Polyarylates,TBHFBPA-tBI PAR,,124,149,22.1,4.47,85.1,3.36,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330905,2.093421685,2.173186268,1.344392274,0.650307523,1.92992956,0.526339277,2.093421685,2.173186268,1.344392274,0.650307523,1.92992956,0.526339277,0.087110168,0.098127967,0.071411859,0.08220427,0.135376171,0.143420911
Polyarylates,TBPhTh-I PAR,,23.4,27.9,1.96,0.29,8.34,0.206,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330905,1.369215857,1.445604203,0.292256071,-0.537602002,0.921166051,-0.68613278,1.369215857,1.445604203,0.292256071,-0.537602002,0.921166051,-0.68613278,0.087696744,0.098454843,0.071279728,0.082310611,0.135349923,0.143500803
Polyarylates,TBPhTh-tBI PAR,,61.3,67.5,7.41,1.28,30.6,1.09,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330905,1.787460475,1.829303773,0.869818208,0.10720997,1.485721426,0.037426498,1.787460475,1.829303773,0.869818208,0.10720997,1.485721426,0.037426498,0.087424394,0.098864251,0.071708763,0.082341332,0.135532241,0.144084092
Polyarylates,TBFBP-I PAR,,38.5,53.5,4.84,0.705,20.4,0.567,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330905,1.58546073,1.728353782,0.684845362,-0.151810883,1.309630167,-0.246416941,1.58546073,1.728353782,0.684845362,-0.151810883,1.309630167,-0.246416941,0.087725213,0.098292457,0.071317722,0.082175701,0.135363609,0.143472052
Polyarylates,TBFBP-tBI PAR,,94.4,141,16.8,2.94,69.5,2.77,,Pixton 1995,http://dx.doi.org/10.1002/polb.1995.090330905,1.974971994,2.149219113,1.225309282,0.46834733,1.841984805,0.442479769,1.974971994,2.149219113,1.225309282,0.46834733,1.841984805,0.442479769,0.087686033,0.098602067,0.071476222,0.082282516,0.135479132,0.143820765
Polyarylates,DMBPA-I polyarylate,,9.5,7.79,0.4,0.0628,1.24,0.0459,,Pixton 1995,http://dx.doi.org/10.1021/ma00128a043,0.977723605,0.891537458,-0.397940009,-1.202040356,0.093421685,-1.338187314,0.977723605,0.891537458,-0.397940009,-1.202040356,0.093421685,-1.338187314,0.087296568,0.098640059,0.071381061,0.082224896,0.134505562,0.144234704
Polyarylates,DMBPA-tBI polyarylate,,26,27.1,2.37,0.393,8,0.4,,Pixton 1995,http://dx.doi.org/10.1021/ma00128a043,1.414973348,1.432969291,0.374748346,-0.40560745,0.903089987,-0.397940009,1.414973348,1.432969291,0.374748346,-0.40560745,0.903089987,-0.397940009,0.087325553,0.098676895,0.071585364,0.082066878,0.134609338,0.144323217
Polyarylates,TMBPA-I polyarylate,,34,38.6,3.26,0.579,12,0.472,,Pixton 1995,http://dx.doi.org/10.1021/ma00128a043,1.531478917,1.586587305,0.5132176,-0.237321436,1.079181246,-0.326058001,1.531478917,1.586587305,0.5132176,-0.237321436,1.079181246,-0.326058001,0.087365992,0.098393172,0.071297277,0.082215322,0.134913256,0.143721075
Polyarylates,TMBPA-tBI polyarylate,,72,96,12.2,2.52,44.6,2.571,,Pixton 1995,http://dx.doi.org/10.1021/ma00128a043,1.857332496,1.982271233,1.086359831,0.401400541,1.649334859,0.410102077,1.857332496,1.982271233,1.086359831,0.401400541,1.649334859,0.410102077,0.087219161,0.098166191,0.07128388,0.082078809,0.134742678,0.143608081
Polyarylates,DiisoBPA-I polyarylate,,19.5,18.9,1.64,0.273,5.16,0.305,,Pixton 1995,http://dx.doi.org/10.1021/ma00128a043,1.290034611,1.276461804,0.214843848,-0.563837353,0.712649702,-0.515700161,1.290034611,1.276461804,0.214843848,-0.563837353,0.712649702,-0.515700161,0.087216664,0.098678479,0.071643902,0.081964067,0.134285574,0.144509162
Polyarylates,DiisoBPA-tBI polyarylate,,37.3,41.4,5.03,1.079,16.1,1.43,,Pixton 1995,http://dx.doi.org/10.1021/ma00128a043,1.571708832,1.617000341,0.701567985,0.033021445,1.206825876,0.155336037,1.571708832,1.617000341,0.701567985,0.033021445,1.206825876,0.155336037,0.087010552,0.098396532,0.07148233,0.081935846,0.134059031,0.144203276
Polyarylates,DBDMBPA-I polyarylate,,22.1,23.3,1.52,0.219,5.45,0.151,,Pixton 1995,http://dx.doi.org/10.1021/ma00128a043,1.344392274,1.367355921,0.181843588,-0.659555885,0.736396502,-0.821023053,1.344392274,1.367355921,0.181843588,-0.659555885,0.736396502,-0.821023053,0.087549364,0.098516447,0.071379427,0.082233059,0.135116905,0.1438805
Polyarylates,Polyarylate A,,,10.4,1.6,0.282,6.91,0.365,,Zhang 1993,http://dx.doi.org/10.1021/ma00078a010,,1.017033339,0.204119983,-0.549750892,0.839478047,-0.437707136,1.025481592,1.017033339,0.204119983,-0.549750892,0.839478047,-0.437707136,0.086676446,0.097316198,0.071259691,0.081474029,0.134006538,0.142840548
Polyarylates,Polyarylate B,,,27.1,5.54,1.37,22.2,1.39,,Zhang 1993,http://dx.doi.org/10.1021/ma00078a010,,1.432969291,0.743509765,0.136720567,1.346352974,0.1430148,1.454707201,1.432969291,0.743509765,0.136720567,1.346352974,0.1430148,0.086169666,0.096745373,0.070976929,0.081574415,0.133962795,0.142244072
Polyarylates,HFBis A-tBI polyarylate,,100,,16,3.72,69.3,,,Loria-Bastarrachea 2007,http://dx.doi.org/10.1002/app.25187,2,,1.204119983,0.57054294,1.840733235,,2,2.071631521,1.204119983,0.57054294,1.840733235,0.521039415,0.087219017,0.098652926,0.071469514,0.082446576,0.135412437,0.143659842
Polyarylates,HFBis A-IA polyarylate,,32.7,,3.13,0.65,12.5,,,Loria-Bastarrachea 2007,http://dx.doi.org/10.1002/app.25187,1.514547753,,0.495544338,-0.187086643,1.096910013,,1.514547753,1.492061403,0.495544338,-0.187086643,1.096910013,-0.294395153,0.086983351,0.098281786,0.071308376,0.082250144,0.134913425,0.14342986
Polyarylates,SBI-T polyarylate,,68,,13.4,2.98,55.7,4.22,,Pessan 1995,http://dx.doi.org/10.1002/polb.1995.090330317,1.832508913,,1.127104798,0.474216264,1.745855195,0.625312451,1.832508913,1.949486342,1.127104798,0.474216264,1.745855195,0.625312451,0.08728155,0.098706382,0.071585916,0.08215082,0.134758471,0.144054683
Polyarylates,SBI-I polyarylate,,39.1,,5.31,1,18.9,1.14,,Pessan 1995,http://dx.doi.org/10.1002/polb.1995.090330317,1.592176757,,0.725094521,0,1.276461804,0.056904851,1.592176757,1.645293376,0.725094521,0,1.276461804,0.056904851,0.087120271,0.098341399,0.071495953,0.081953168,0.134503279,0.143957082
Polyarylates,Polyarylate BAP/ISO,,23,,2.58,0.54,13.1,0.59,,Loria-Bastarrachea 2010,http://dx.doi.org/10.1021/ie100478v,1.361727836,,0.411619706,-0.26760624,1.117271296,-0.229147988,1.361727836,1.38211135,0.411619706,-0.26760624,1.117271296,-0.229147988,0.087295622,0.098746397,0.071449809,0.082352474,0.135041533,0.143529878
Polyarylates,Polyarylate BAP50/ISO,,25.5,,2.84,0.56,16.3,0.65,,Loria-Bastarrachea 2010,http://dx.doi.org/10.1021/ie100478v,1.40654018,,0.45331834,-0.251811973,1.212187604,-0.187086643,1.40654018,1.450746339,0.45331834,-0.251811973,1.212187604,-0.187086643,0.087680915,0.099383566,0.071682521,0.082597242,0.135552009,0.143907986
Polyarylates,Polyarylate BF/ISO,,30.2,,3.92,0.64,20.1,0.71,,Loria-Bastarrachea 2010,http://dx.doi.org/10.1021/ie100478v,1.480006943,,0.593286067,-0.193820026,1.303196057,-0.148741651,1.480006943,1.556811266,0.593286067,-0.193820026,1.303196057,-0.148741651,0.08766153,0.098972095,0.071700249,0.082292089,0.135459515,0.143862989
Polycarbonates,TMPC,tetramethyl bisphenol-A polycarbonate,46,32,5.6,1.1,18.6,0.89,,Hellums 1989,http://www.sciencedirect.com/science/article/pii/S0376738800811734,1.662757832,1.505149978,0.748188027,0.041392685,1.269512944,-0.050609993,1.662757832,1.505149978,0.748188027,0.041392685,1.269512944,-0.050609993,0.086288355,0.097810598,0.071887238,0.081930019,0.134971853,0.14403503
Polycarbonates,TCPC,tetrachloro bisphenol-A polycarbonate,27.4,,2.3,0.36,6.7,0.22,,Muruganandam 1987,http://www.sciencedirect.com/science/article/pii/S0376738800800319,1.437750563,,0.361727836,-0.443697499,0.826074803,-0.657577319,1.437750563,1.389869331,0.361727836,-0.443697499,0.826074803,-0.657577319,0.086785164,0.0975036,0.071207159,0.081788611,0.134520576,0.143323776
Polycarbonates,TBPC,tetrabromo bisphenol-A polycarbonate,18,43,1.5,0.2,4.2,0.12,,Hellums 1991,http://dx.doi.org/10.1002/app.1991.070431103,1.255272505,1.633468456,0.176091259,-0.698970004,0.62324929,-0.920818754,1.255272505,1.633468456,0.176091259,-0.698970004,0.62324929,-0.920818754,0.088569072,0.097117985,0.070786525,0.082675463,0.135575898,0.143972682
Polycarbonates,HFPC,Hexafluoro bisphenol-A polycarbonate,60,27,6.9,1.7,24,1.05,,Hellums 1989,http://www.sciencedirect.com/science/article/pii/S0376738800811734,1.77815125,1.431363764,0.838849091,0.230448921,1.380211242,0.021189299,1.77815125,1.431363764,0.838849091,0.230448921,1.380211242,0.021189299,0.08573474,0.097604891,0.072452301,0.082447858,0.136026545,0.144466997
Polycarbonates,TMHFPC,tetramethyl hexafluoro bisphenol-A polycarbonate,206,126,32,7.7,111,4.7,,Hellums 1989,http://www.sciencedirect.com/science/article/pii/S0376738800811734,2.31386722,2.100370545,1.505149978,0.886490725,2.045322979,0.672097858,2.31386722,2.100370545,1.505149978,0.886490725,2.045322979,0.672097858,0.086242234,0.098316162,0.072480059,0.082616034,0.136467564,0.144737388
